SPE+   TCA+  2,SPE TCA+,KNN-TDS  TCA+,MZ_Score  TCA+,CFPS TCA+,Bellweather TCA+
0.739,0.694,0.648,0.667,0.739,0.739
0.549,0.525,0.557,0.510,0.547,0.547
0.728,0.709,0.657,0.612,0.679,0.679
0.771,0.729,0.588,0.505,0.743,0.743
0.737,0.710,0.671,0.614,0.739,0.739
0.673,0.511,0.687,0.548,0.555,0.628
0.525,0.503,0.525,0.493,0.511,0.537
0.609,0.505,0.593,0.500,0.593,0.618
0.556,0.492,0.571,0.523,0.556,0.577
0.707,0.500,0.602,0.508,0.624,0.624
0.574,0.540,0.599,0.572,0.574,0.655
0.787,0.562,0.646,0.708,0.787,0.744
0.723,0.609,0.607,0.553,0.635,0.635
0.734,0.627,0.668,0.578,0.734,0.682
0.658,0.663,0.664,0.645,0.675,0.675
0.768,0.691,0.523,0.659,0.751,0.759
0.618,0.597,0.584,0.620,0.589,0.618
0.699,0.588,0.500,0.498,0.646,0.699
0.725,0.634,0.634,0.515,0.626,0.725
0.523,0.543,0.469,0.430,0.481,0.523
0.545,0.568,0.499,0.516,0.593,0.719
0.605,0.535,0.510,0.501,0.552,0.605
0.664,0.566,0.554,0.527,0.664,0.664
0.639,0.596,0.563,0.513,0.604,0.639
0.551,0.545,0.577,0.557,0.551,0.571
0.674,0.521,0.510,0.510,0.674,0.649
0.776,0.529,0.535,0.526,0.776,0.760
0.524,0.473,0.388,0.487,0.512,0.427
0.698,0.686,0.637,0.500,0.698,0.637
0.646,0.632,0.662,0.522,0.646,0.662
0.702,0.625,0.515,0.549,0.702,0.688
0.769,0.500,0.723,0.586,0.769,0.747
0.554,0.588,0.510,0.524,0.435,0.534
0.589,0.557,0.650,0.609,0.589,0.606
0.693,0.570,0.546,0.432,0.693,0.707
0.537,0.518,0.496,0.473,0.561,0.548
0.633,0.687,0.550,0.375,0.633,0.563
0.729,0.703,0.614,0.397,0.729,0.705
0.529,0.538,0.565,0.528,0.534,0.528
0.636,0.698,0.603,0.604,0.636,0.598
0.694,0.551,0.633,0.601,0.526,0.526
