TCA+ 2,BDA 2,JDA,KMM 2
0.739285714,0.694047619,0.645238095,0.773809524
0.548550725,0.524275362,0.553804348,0.55
0.727789751,0.665170019,0.610512452,0.708632663
0.770899782,0.745446533,0.609744838,0.758960047
0.737051834,0.718350084,0.613313357,0.723234909
0.672840963,0.731359132,0.616092496,0.659037282
0.528533636,0.543981481,0.523809524,0.545540438
0.531864535,0.617592373,0.578162501,0.575027273
0.555710726,0.567892741,0.535252197,0.574454394
0.70734127,0.665674603,0.527777778,0.665674603
0.574444444,0.672638889,0.585416667,0.523472222
0.786858974,0.779166667,0.605128205,0.75
0.723443223,0.684676435,0.553479853,0.701526252
0.661818182,0.69047619,0.583982684,0.708658009
0.657766067,0.679632748,0.566442114,0.737789971
0.768416928,0.762408568,0.542156479,0.732725967
0.617558118,0.515687016,0.618030618,0.464751465
0.699184624,0.733401281,0.572947001,0.620413512
0.725225225,0.683183183,0.658783784,0.737987988
0.523148148,0.566964286,0.499338624,0.504464286
0.719093407,0.655906593,0.536401099,0.67032967
0.605076861,0.607234358,0.54668959,0.541902643
0.592481392,0.602495415,0.50323613,0.602693179
0.609264184,0.676750887,0.613364362,0.53125
0.550834228,0.550639087,0.514733145,0.642111426
0.673607841,0.768086296,0.719213563,0.493892748
0.776032802,0.733040826,0.705930461,0.615857298
0.697240865,0.442331593,0.53455133,0.359681829
0.697695035,0.713430851,0.689716312,0.748891844
0.615123457,0.621296296,0.534567901,0.608333333
0.633242134,0.644049248,0.562722298,0.671751026
0.762941284,0.690598134,0.590360344,0.652551674
0.554421769,0.510204082,0.5,0.462585034
0.588809645,0.667345899,0.58473425,0.590847343
0.63817292,0.688743883,0.65609521,0.688855109
0.536890032,0.56996621,0.55304922,0.536464545
0.633165481,0.602166682,0.538906341,0.535749484
0.729398664,0.69006884,0.687841668,0.671694675
0.567674339,0.499599221,0.50914157,0.477689988
0.636265851,0.735054348,0.525701993,0.669270833
0.621228424,0.6413536,0.560777123,0.667548153
