BDA,KMM,TCA+,GFK,Tradaboost
0.649,0.58,0.614,0.573,0.522
0.518,0.535,0.505,0.492,0.487
0.62,0.634,0.585,0.579,0.517
0.664,0.641,0.64,0.573,0.545
0.663,0.622,0.593,0.585,0.551
0.627,0.604,0.534,0.569,0.522
0.53,0.517,0.511,0.511,0.495
0.604,0.57,0.541,0.571,0.493
0.56,0.555,0.516,0.52,0.51
0.613,0.615,0.598,0.561,0.532
0.592,0.587,0.556,0.619,0.514
0.623,0.605,0.615,0.576,0.536
0.636,0.566,0.566,0.567,0.552
0.636,0.587,0.558,0.575,0.51
0.635,0.58,0.601,0.589,0.492
0.664,0.587,0.651,0.561,0.523
0.477,0.519,0.603,0.552,0.525
0.655,0.611,0.55,0.547,0.519
0.623,0.606,0.569,0.579,0.503
0.518,0.52,0.503,0.493,0.49
0.582,0.58,0.552,0.566,0.507
0.568,0.564,0.531,0.516,0.512
0.583,0.567,0.518,0.536,0.532
0.61,0.562,0.539,0.543,0.455
0.51,0.58,0.557,0.534,0.533
0.689,0.546,0.512,0.517,0.501
0.668,0.565,0.584,0.592,0.521
0.437,0.528,0.542,0.486,0.509
0.656,0.632,0.564,0.599,0.528
0.572,0.575,0.566,0.532,0.542
0.62,0.589,0.593,0.548,0.542
0.597,0.631,0.599,0.579,0.572
0.492,0.494,0.473,0.495,0.491
0.623,0.583,0.546,0.54,0.522
0.652,0.559,0.589,0.604,0.542
0.559,0.515,0.517,0.56,0.535
0.586,0.583,0.554,0.601,0.558
0.658,0.627,0.578,0.613,0.508
0.504,0.499,0.521,0.509,0.524
0.568,0.579,0.573,0.564,0.562
0.525,0.591,0.556,0.537,0.493
