BDA,KMM,TCA+,Tradaboost,GFK
0.48,0.536,0.5,0.531,0.289
0.505,0.481,0.508,0.367,0.277
0.661,0.628,0.69,0.554,0.234
0.587,0.535,0.613,0.43,0.41
0.632,0.594,0.675,0.543,0.391
0.614,0.719,0.706,0.382,0.087
0.574,0.513,0.505,0.442,0.344
0.611,0.593,0.665,0.572,0.22
0.635,0.692,0.697,0.529,0.23
0.614,0.526,0.399,0.416,0.453
0.691,0.502,0.785,0.626,0.206
0.605,0.597,0.797,0.36,0.256
0.519,0.496,0.473,0.495,0.403
0.579,0.572,0.579,0.461,0.411
0.589,0.556,0.634,0.545,0.385
0.534,0.58,0.661,0.56,0.25
0.57,0.645,0.606,0.774,0.059
0.599,0.612,0.596,0.49,0.248
0.672,0.663,0.461,0.401,0.443
0.596,0.55,0.421,0.515,0.336
0.549,0.57,0.525,0.456,0.44
0.573,0.551,0.347,0.448,0.293
0.539,0.508,0.433,0.481,0.363
0.634,0.538,0.455,0.465,0.539
0.368,0.454,0.616,0.571,0.233
0.691,0.504,0.325,0.396,0.465
0.713,0.583,0.404,0.442,0.483
0.377,0.474,0.604,0.435,0.204
0.645,0.351,0.581,0.505,0.189
0.625,0.495,0.568,0.326,0.316
0.63,0.566,0.506,0.443,0.471
0.64,0.579,0.598,0.638,0.237
0.498,0.464,0.51,0.434,0.388
0.57,0.615,0.5,0.491,0.297
0.658,0.65,0.643,0.554,0.273
0.553,0.463,0.481,0.502,0.351
0.589,0.495,0.498,0.5,0.488
0.633,0.72,0.316,0.67,0.536
0.537,0.628,0.624,0.624,0.214
0.582,0.67,0.751,0.604,0.288
0.559,0.478,0.305,0.497,0.5
